text	label
understand need dm answer damage luggage policy	neg
mean policy destroy luggage	neg
special assistance travel kid infant priority boarding	neu
thank check ticket purchase customer happy	pos
website come online	neu
be flight love field sfo definitely cancel flightled monday february	neu
be flight lga dfw time	neu
driver license expire little month can fly friday morning expired license	neu
have problem flight booking problems web site keep give error contact phone phone minute wait	neg
how reschedule cancel flightled flight online the change button grey	neg
ring wait minute book ticket vendor fix site	neg
get flight tell today email tomorrow this unacceptable	neg
flight lga cancel flight stuck dallas call reschedule tell flight today	neg
pairing include red wine only white offer redwineisbetter	neg
website	neg
site little wonked right may want look try browser no css	neg
disappointed agent designate silver status check line close assist pasenger	neg
plan include austin dallas route topnews arab emirate	neu
be normal receive reply central baggage baggageissue smh	neg
logan airport wait checkin flight checkin desk open why	neg
jump dallas austin market	neu
beat eps view take on southwestair va luv investor business daily	neu
lister monday	neu
begin dallas austin flight april ketr	neu
congrat get business ewr sfo lax fuck sfo ewr clincher	neg
apply week ago have hear fly week disappointed	neg
love know policy damaged luggage	neu
thank follow	pos
apology r bad airline do respond cudtomer	neg
shame va make people spend money strand city airline land jfk who reimburse	neg
dm	neu
flight sjc choice fly southwest vegas	neu
bad take day your confirmation email when inquire week claim week	neg
flight bos gt las tomorrow cancel flightled no notification wait time hour will rebook airline	neg
meet match get status airline upgrade restr	pos
only way fly elevate gold	pos
if guy flight cmh	neu
lot apology throw customer very sad thank bad airline	neg
flight stuff wrong have bad flight	neg
have issue find miss item plane can help find airport plane head	neu
match americanairlines status cool	pos
meet match get status airline upgrade	neu
try book flight guy website will let lose business	neg
suck	neg
thank	pos
just same issue persist	neg
because cancel flightlation notice leave w option fly ps drive la red eye mon w kid	neg
try book flight amp site	neg
flight fly boston tomorrow need home cancel flightl flight	neg
stink flight cancel flight psp jfk notification ability rebook disappointed expect better	neg
love guy song dance high school dance revue	pos
website try check	neg
thank quick response apparently faster sit hold	pos
nervous flight dc lax get cancel flightled tomorrow just send dm help	neu
cool picture virginamerica plane wing what site	pos
keep great work	pos
goodness people field amazing pressure texas beatstheother crisis please fly ny	pos
thank great flight la boston pilot great job landing snow can la seriously	pos
new york area monday afternoon	neu
thank awesome support guy rock	pos
seat row recline mention website soreback	neg
flight delay hour la mechanical problem handle like pro toss free drink	neg
cancel flight flight today no precipitation scar	neg
twitter team guy kill reschedule asap thank	pos
guy charge reschedule flight cancel flight refuse refund what deal	neg
access website safari iphone seem work mac ipad need iphone add passbook	neg
ipad iphone click checkin link email receive flight	neu
mobile site break show number point will let checkin	neg
look forward flight let know reschedule diehardvirgin	neg
cancelled flight flight one sec delay airport cancel email reschedule	neg
problem link email check thank	neg
change airline dc today why able land dc cost ugh	neg
look forward flight today cancel flightl subsequent	neg
put great deal pdx las las pdx love	pos
wish afford fly friday go home love airline	pos
go to deal dallas dc deal dc dallas sad	neg
bug report guy	neu
hold time center bit	neg
like	pos
site help	neg
good flight attendant	pos
awesome watch nominate film foot meetthefleet oscar	pos
thank	pos
try reset password email arrive help	neg
airline base silicon valley disruption fcmostinnovative incubator	pos
very nicely	pos
look forward watch oscars flight home tomorrow bubbly drink	pos
what reason delay departure vx jfk afternoon	neg
todays flight palm springs ca jfk ny cancel flightled	neg
hahaha you guy are amazing love you guy	pos
sound like fun	pos
update flight jfk gt lax	neu
spruce moose	neu
css site right fix site unusable	neg
flight vegas boston today check online bag count register can fix	neg
classiq luv virgin america greetingz	pos
hi try check website work try different browser problem continue	neg
thank great customer service today amp help travel sort	pos
thank guy sweet route rockies airplanemodewason	pos
love music blast gate boston wait flight sanfrancisco only iced coffee	pos
passenger flt assault fly trust ban crew file report	neg
current bug website show select departure select destination city	neg
luggage severely dent miss wheel come baggage claim san luggage agent miranda think help	neg
thank easy itinerary shift impending weather quick painless amp free	pos
if love girl inspire pilot free woaw event march abq	neu
thank good time vodkatonics entire flight	pos
beat expectation share santa cruz sentinel	neu
plan start fly direct dal las	neu
big love werin avalonhollywood	neu
great job add little luxury aesthetic improve air travel experience thank keep	pos
request window seat confirm window get stick middle seat not good way treat silver member	neg
grand budapest hotel oscarscountdown	neu
this miss next trip	neu
wtf pay direct flight purpose stop fuel exhaust frequent flier inconvenience	neg
wrong website safari iphone	neg
thank gate check baggage flight dfw lax give early board sweet	pos
already check page expire	neg
boo refund seat upgrade fee want buy place	neg
share rise financial result usa today	neu
add pillows instead lie flat seats first class arms race	neu
	pos
way advantage mayweatherpacquiao	neu
know fly virgin fight mayweatherpacquiao	neu
inflight team make experience amazing	pos
cut salt pepper shaker just think guy better	pos
move seat notice good seat cabin select row select disappointed	neg
share result	neu
fav airline	pos
hot female pilot sweet dca sfo	pos
when guy go start fly paris welcome	neu
policy fly surgery wait answer tell doctor	neu
contact central baggage amp send dm charge dress lose suitcase help	neg
thank	pos
be go website get lot error past minute	neg
think leave plane yesterday ah	neu
need follow order dm	neu
need start fly	neu
tell check airline regulation contact	neu
check flight sfo lax amp tell atlantic flying club gold benefit	neg
husband order drink screen come awesome	neg
soooo guy go leave seatbelt light flight barely turbulence	neg
policy fly surgery	neu
post second consecutive year net profit	neu
funny story website break miss javascript stylesheet checkin process dislike	neg
love virgin like	pos
result handily exceed forecasts	neu
apply position wonder guy receive application	neu
achieve second year profitability despite revenue pressure	neu
give positive outlook see increase competition	neu
try check ct flight tmm desktop website work sort cache bug sos	neg
weather delay gt week jfk bos dca	neu
check website airport	neu
do guy know check link email break	neg
pilot say expect choppy landing nyc gusty wind w temperature degree amp windchill	neu
love can wait monday return flight mostly watch inflight safety video sorrynotsorry	pos
lose luggage day ago flight vx lax iad amp call day response please stuff	neg
the flight booking problems section website break chrome may wanna look	neg
hi just want new route plan year newark love fly guy hope	pos
mean probably inappropriate board but	pos
happy spend day let	pos
save sanity right	neu
miss flight how standby work	neu
understanding help thx comps	pos
bring way country today	neu
thank absolutely	pos
look like broken link asset	neg
ready let noooo turbulence today	neu
manage itinerary section website break	neg
check site look like time load	neg
u help need urgent treatment old battle cancer u help flight freyasfund	neu
start service hawaii sanfrancisco year biztravel	neu
other carrier half price round trip fare stunned	neg
wtf happen pdx late flight march way sfo	neg
add dtw sell	neu
how free drink flight free promo	pos
thank	pos
momma	neu
contact portfolio leave flight vx jfk sfo tonite seat need return call	neu
help on flight jkf tonight seat leave portfolio need	neu
seattle bind wifey get duffle vday keeper holla	neu
luggage go file paperwork promise email still resolution response central luggage	neg
debbie baldwin give rockstar performance safety demo evening bestcrew sherocks	neu
thank	pos
thank take care flight rockstar travel	pos
thank lovely soft view travel san sfo	pos
request mileage challenge status week ago online hear how help	neg
just try book ticket nyc face super fun break styling do worry try	neg
many thank freyasfund usa bandie look any help	neu
nice lofty view silverstatus	neu
apply status match feb get confirmation email day still news guy drop ball late flightly	neg
new airline	neu
can help ourprincess need help usa	neu
adore look forward flight austin week	pos
glad mention take virgin flight year transformative experience	pos
flight booking problems flight uphold status match do tax ticket count earn status point statusmatch virginamerica	neu
try check look like site	neg
spend birthday night dal dca get home	neg
send couple message email provide avail will try year cheer	neg
time fly virgin go sanfrancisco smooth ride easily new fav airline	pos
seriously direct flight sfo fll	neg
fine already purchase but try just way	neg
experience hop ws force check small carry cabin space board	neg
luggage slow lax	neg
jump dallas austin market	neu
speak representative offer solution loyal customer fly	neg
deeply disappointed birthday promo apply trip book mere day receive email	neg
happen direct flight sfo fll look may connect help dontdothistome	neg
can help leave blazer kooples jacket bag row second seat right gate lax flight sfo	neu
partner checkout mobile payment method help boost mobile conversion rate etailw payment visa	neu
promote product problem southwest recommend noneoth good	pos
love guy pls direct route las aus	pos
like help flight	neu
bruh turn vxsafetydance	neu
course work obsess entire virgin family	pos
ok time fly tonight	pos
dig swanky pink mood light flight nyc sfo just need cabaret singer think	neu
do need receipt asap could help	neu
emboss badge patch superior one currently	neg
jfk la dirty plane standard	neg
flight head la jfk dirty va plane sad great airline	neg
get square away someone pick soon tweet should tweet sooner	pos
avis rental continue button work website book car try time phone this suck	neg
delay	neg
currently minute hold cust service do need add lap child reservation	neg
add pillows instead lie flat seats first class arms race	neu
of course have fun celebrate thank happy chinese new year	pos
flight booking problems second flight week san chance want gift promo code love guy	pos
comenity bank joke please change nothing constant problem bank	neg
dm do u add	neu
for grandma ella bday greet flight crew stewardess eastern airlines	pos
just buy tix atx dallas route thank add love yr airline amp yr website best transactional site ever	pos
anytime sugafly	neu
give credit late flight flight yesterday great service that wow moment unexpected gesture	pos
need receipt flight change can send	neu
submit status match request hear fly monday can look accelerate	neg
safety video love cross country flight livewelltravel sytycd	pos
look fat look yummy	pos
ceo say southwest amp jetblue stray low cost	neu
brilliant brisk boston cue	neu
atlantic plough lone furrow middleeast	neu
atlantic plough lone furrow middleeast	neu
atlantic plough lone furrow middleeast	neu
omg omg nonstop dallas austin virgin	pos
plane pretty just think u know	pos
fly hawaii	neu
pull hair try book flight site work iphone computer help	neg
thank	pos
can help support ticket day incident thank	neg
good home texas moodlight	pos
open laptop seat pay premium let	neg
seat open laptop pay extra seat	neg
if guy start flight end month guess road tripping feb	neu
thank be need way austin trip dca come	pos
announce new route austin w fare	neu
really sprint think guy kewl	neu
cool never ur plane	pos
dollar lax las fare	neu
great well deserved	pos
fyi email address contact password reset email exist email bounce	neg
status match week go news flt week hope flt count requirement cust svc help	neg
website suck donkey dick just think know all good	neg
develop app favorite airline	neu
crap channel pay watch uk tv	neg
get all set thank	pos
a channel year	neu
only thing passbook virgin mobile mexico how integrate	neu
giants virgin america a match heaven	pos
thank goodness also friday boom	pos
come iphone app still make waste paper	neg
seat entertainment system accept credit card apostrophe surname apostrophefail	neg
when vx use lga slot instead today add aus make likely	neg
help step game tindertips tinderchamp	neu
luv ur people product thing y u charge herbal tea black tea caffeine drinker	pos
thank see soon excited expansion destination spread wing	pos
announce new nonstop connect amp intro	neu
add austin dallas love field route	neu
sad learn longer fly sfo gt phl hope return	neg
tweet cancelled flight chng fee flight rebook affiliate if afiliate	neu
incredible customer service experience so refreshing	pos
now virginamerica come philadelphia phl	neu
dream do open route dallas austin and mean houston	pos
omg finally	pos
start flight dallas austin avgeek	neu
nice expand texas forget sandiego love flight	neu
kinda suck earphone jack work flight want look future passenger	neg
very poor experience first computer problem seat malfunction stick miss meeting san diego	neg
battle route	neu
thankyou dal aus route make day	pos
awesome deal dal aus way	pos
miss nerdbird san jose	neu
love take backyard consumer win biz compete	pos
fly love austin that excellent news	pos
vx plane nerdbird why austin get nerd love	neu
add frequency pdx portland	neu
congrats vx new route	pos
try offer charge additional new ticket strand thurs time time	neg
u help flight old battling cancer need treatment	neu
never bad experience take cake now extortion carry item	neg
have spend hour worry item carryon break steal carry plane lock bag	neg
all group e tell room bin get plane room bag row	neg
thank make flight lax jfk nightmare force check carry bag gate	neg
lot flight book site work phone wait minute	neg
flight artisanal cheese wine pairing	pos
virgin america fly direct seattle nyc boston	neu
that classy	pos
sure lot jfk lhr flight lot faster mph strong tailwind	pos
t minus minute elevate silver upgrade window open freeneversuck	pos
save tomorrow am	neu
why take year fly home dallas get shit	neg
club virgin bump new york	neu
rough trip luckily virginamerica flight weather	pos
thestarter	neu
please come minneapolis paul	neu
yes fyi my bff	neu
perfect flight how come plane sun visor stay other carrier raise	pos
nice the man steel fast wifi say sciencebehindtheexperience	pos
love dance little richard cool bean	pos
use passbook love use email future	pos
thank free birthday point all right	pos
application ios be look see virgin mexico	neu
man steel fly city frequency	neg
thank sharing just add site	pos
good point	neu
hear virgin mobile hotspot	neu
get cheese plate flight	neu
on flight	neu
dad segway good infographic	pos
be plan short haul airline europe would defiantly fly guy	pos
wifi and good seating	pos
come abc network channel	neu
start flight scolding overhead bin offer person seat	neg
great return call day could ask myvxexperience	pos
while airline cancel flighting flight bos help customer home virgin say good luck	neg
dear virgin customer strand sf day amp accommodate	neu
use airline commercial lol	neu
grouping virgin bos weather expose actual cus serv model never flight booking problems virgin	neg
as traveler affect boston storm shocked virgin complete apathy customer	neg
umm reason be different contact contact definitive answer	neg
try change advance hour try online earlier want change fee	neg
loyal drive nyc pa fly virgin cut philly flight	pos
any way change main cabin main cabin select flight pay change fee penalty	neu
guy perfect wervirgin	pos
thank good customer service leave industry	pos
can silver status month	neu
wish fly fargo fare amazing	pos
mood light point recline seat kickin foot	neg
flight schedule p.m. departure say time plane gate any update long delay	neg
group get cancel flightlation fee waive ticket book rep help	neg
be sign bonus enroll elevate	neu
get p.m. newark home la folk ewr incredible letsgohome	pos
morning if question elevate point amp flight dm	neu
wait	neu
wonder guy reciev dm able potentially respond asap	neu
fly lax sfo look awesome movie lineup actually wish long haul	pos
book town fare restr	neu
thank	pos
thank take care mr happy customer	pos
refund word dm please resolve issue cancel flightled flight useless assistant trip	neg
delayed lack crew delay long line deice still need improve service unite	neg
thank fill how luck be common	pos
eri ord express connection hugely popular eri ewr hop	neg
international flight glasgow then orlando newark all min	neu
think board flight early think	neg
understand tough way airport risk accident steep price	neu
gate agent hook alternate flight if way prevent constant issue rock	neg
fly gla mco week how long airport departure international domestic ta	neu
thank	pos
thank ticket	pos
be law policy	neu
bad nonrefundable first class ticket oh select global fc system auto select economy w upgrade	neg
so buy tix day flight transfer tix flawed security logic flawed customer service	neg
start claim week unrealistic suppose long car seat child ridiculous	neg
follow airline beautifull	pos
sure united info system	neu
car seat lose reimburse new pair shoe necessity child	neg
just submit response link send	neu
yes david allan send email number	neu
totally suck cousin work phl say	neg
want let know wonderful rosetta gate agent work flight dan ase let know wasappreciat	pos
yes paper voucher get january	neu
beginning feb call united say send voucher mail never get tiredofwait	neg
internet great thing email executive company maybe respond timely manner	neg
do need use chase united club pass old son come pass	neu
suppose number	neu
s weak see ya hey	neg
fly w company united not early flight	neg
lose voucher give miami aeroport jan use	neu
try book award september need flight award seat availab	neg
sure drive total hour bag like explain debacle want talk	neg
gee like care ppl think int have trust adult daughter	neu
see tell repeatedly pilot late flight keep get late flightr after board defibrillator issue	neg
preferred security line anymore tsa pre check pull partner flight platinum spoil	neg
newarkliberty airport need indicate different gate terminal flyingainteasy	neg
yes newly married try update preexist international flight easy	neg
how united refuse reissue lose voucher plane mechanic badcustomerservice	neg
run instruct shatter computer	neg
yes agent minute one agent rude thankfully ladan nice	neg
overnight miami	neu
have client hr layover iah day will claim amp recheck luggage or take care	neu
try find loaner seat new car seat illegal accord safety regulation	neu
dmed detail	neu
iah charlotte baggage claim rep latrice customerservice non existent ignored customer inappropriately touch customer	neg
kewl will let know overhead bin row inop love good abbreve	neu
thank help get need issue guess sit awhile longer	pos
love respond website see long form in business new seat bad	neg
a refund flight voucher flight different airline expense today hour drive inconvenient	neg
receive day infant car seat suppose child	neg
thank concern contact customer care return australia	neu
sit ground time wait gate tiredofthis	neg
airport snow removal method good work folk cessna	pos
no need guy book plane concern travel move forward	neg
a measly e certificate appreciate loyal customer wait tarmac unacceptable	neg
when email address username sign available	neg
thank be able claim interim expense cost stuff	pos
rude rude	neg
why board pass austrian airlines codeshare flight rebook incls hour layover amp stick outside sec	neg
receive flight unite truly break guitar unitedbreaksguitar wantmymoneyback	neg
fly telaviv pay suitcase plane besides impolite service	neg
bag colo springs disabled search unfamiliar airport look bag not good outcome	neg
shame flex ticket transfer rule even call neurosurgery icu	neg
no denver say handle baggage springs give number no help	neg
guy need training customer service too good option way guy handle ur mistake	neg
ord dca	neu
find problem avoid like plague be tell find supervisor	neg
cancel flight flight advance need connect flight reschedule link help help gf wait month	neg
fly	neg
addition flight delay hour arrive destination hrs late flight	neg
cancel flight flight rebook add flight drive denver kc thank	neu
announcement pre board address mobility disability require travel lot stuff do preboard	neu
fly united month experience awesome	pos
travel book united group dept okc ticket agent willing help connection lax	neg
upset disability service when tell employee carry medical equipment rude	neg
thnx quick reply think assist intl grp considerable inconvenience today	neg
will not transfer flight ticket accompany yr old active military mom emergency brain surgery wow	neg
weeks late flightr and still have not receive my mile from the mileageplus gift card starbucks card handed over	neg
hop improvement	neg
complain guy check luggage throw bag unfortunate coincidence hope	neg
okc ticket agent roger less helpful intl group travel problem can find supervisor help	neg
mobile app need construction ground os category expensive right	neg
fail united ticket agent okc less helpful care problem american come	neg
work wc coach good thing bird land ahead schedule use wc stat	pos
os control app new	neu
send email customer care tell break sincerely hope help	neg
silly fly delta today united club staff attendant surly unhelpful bother pesky folk	neg
what phone number find flight reservation	neg
fix miss buddy bday negligence attempt	neg
believe help customer service like say want number fix	neg
help baggage service desk said bc tsa screening fll bag bag ewr	neg
mobile boarding pass disappear phone stand line board second time week hmm	neg
rozana newark lovely helpful choosekind	pos
night lga	neu
thx update	pos
thank	neu
dm nut	neu
have explain eager flight attendant try ask vision guide dog	neg
point ask detail servicedog book flight crew read continue	neg
try available bogota rude houston stick hour guy	neg
ua las iad mechanical problem take land fix delay wtfodd	neg
despite bag make newark good informative email track update help	pos
what go ua outbound flight thur delay how long delay	neg
iad las mechanical problem switch aircraft delay hour	neg
crash try check	neg
wow what deal again plus seat available easy change customer happy	pos
thank info know	neu
airline trouble winter amp get good customer service contact negotiate resolution	neu
logan board gong lax carry enforcement bin coat room bag u need good system	neg
thank	neu
blackmail pay extra have return ticket nullify san francisco airport terrible service rep scam	neg
email address reach too long dm	neu
disappointed u not honor credit give ur mistake take business	neg
wait suppose depart	neg
credit trip come mail	neg
ok month wait hear airline give bit day request terrible service	neg
process end still wait reply month pathetic customerservice	neg
what go website flight booking problems ticket today boot system umpteen time	neg
account number website say email unavailable	neg
so need book way order fly unaccompanied minor	neu
receive bag night miss	neg
need upgrade seat economy plus like sit concrete bench	neg
pls help baby hannah life save surgery require need help pls	neu
bet will not honour like ey	neu
flight delay pilot but board sit scheduling	neg
guess ask huh	neu
hard stay upset try remorse	neg
by way simple apology go long way hollow obvious care	neg
this time thing shocking pattern repeat neglect disrespect	neg
fingers cross amp intact very disappointed experience actually say enjoy	neg
incredibly easy fix stay comfort zone force	neg
july zero excuse date system cause problem like	neg
everyone sit friend family member book ticket october december buy	neg
not sure talk go nonstop flight sna sfo sfo ewr	neg
move talk service	neg
good weekend	neu
ask legitimate question systemwide localize problem get unrelate flightd copy paste better	neg
time who need ski airport no faith united	neg
guy amazing company continually make mistake fail hold accountable error	neg
a tourist wonder super tides tide century french coast	neu
yeah sorry problem united and international reputation have problem	neg
probably work	neu
maybe care hear go listen issue cause	neg
wonder share fb insta produce number character limit story telling	neg
tell number leave airport negligent pilot staff	neg
could email resent not appear arrive	neg
yes try newark	neu
follow order dm come	neg
united coupon broken entertainment system flight seriously ridiculousness learncustomerservice	neg
so drop bag overnight amp leave week this suppose hold bag	neg
dm detail response book today	neg
know probably way cheap airfare ticket flight leave hour	neu
explain process happen property find plane passenger leave heathrow	neu
able dm confirmation number	neg
send message let know get twitter literate also really go stick	neg
unhappy response complaint email feb awful customer service	neg
dm work	neu
private jet cool do work try	pos
give option united travelbank recent flight booking problems any help recoup fund thank	neg
common paper work ready delay meeting	neg
yul ord	neu
yep correct get email flight cancel flightled matter flight atl delay thx	neg
problem get fll iah send dm make connection let know	neg
done	neu
thank send	pos
ground montreal miss connection louis can help do private jet	neg
frustrated nervous	neg
one difficult	neg
child issue fly prepare ahead time reduce distress cause plane	neg
cancel flightl hour	neg
this always happen guy make travel incredibly stressful uncomfortable be good business	neg
so severe anxiety person help	neg
seek client b c u not need refund fill form confident work past indication	neg
response bot improvement easily attain be class service worth	neu
unrivalled access california flight uk airport nonstop stop connection year round	pos
book award tix thaiairways see conf united flight booking can thai	neu
luckily flight time disappointed lack communication	neg
check flight atl ord get cancel flight	neg
service far horrid want end trip high note guess option	neg
book flight home month ago request seat fiancée get middle seat unacceptable the	neg
you guy are horrible	neg
thnx info	pos
why pay wifi international business ticket pennypincher	neg
ok to thing lose luggage could any bad unitedairlines	neg
kudo cancel flightling flight dfw morning united usually panic	pos
and luggage break youcouldntmakethis brokenwheel	neg
flight dfw ord currently time advisory dfw affect weather	neu
maybe day quote	neg
flight delay remember turn heat flight leave ord seriously	neg
awesome new plane flight extremely nice captain steve connolly	pos
speak real person resolve politely efficiently	neg
file refund claim tell charge dm this dispute bank	neg
bag flight iad second day clothe pretty inconvenient pretty curious unitedairlines	neg
every united flight saipan guam adventure know old plane operational	pos
ask customer service phone number speak real person sort	neg
bag leave washington that convenient see leave day ago unitedairlines lostluggage	neg
fly class leg chicago long flight china able use lounge chicago	neu
accord dm owe refund provide contact number bank file claim	neg
hour ago need work bag hotel time need	neg
okay thank	neu
file claim way call update be way	neu
pls properly train agent request speak customer service amp transfer dead end not open hr	neg
thank remember load bag connect flight oh wait forgot iceland fun clothe	neg
thank cheese platter abundance entertainment option time fly	pos
customer service atrocious disrupt travel plan lose luggage impossible talk to a human	neg
terminal mia food open esp flight two hour early like recommend can eat	neg
ua flight now currently stick portland miss ride hour delay getmartyhome	neg
respond request contact number know uk customer service number unitedairlines	neg
look get bag lusaka	neg
could update suitcase the online phone tracking tell tell yesterday	neg
thank be try day set	pos
thing u guy charge drink transatlantic flight	neg
lhr arrival lounge fail wait min shower leave find hotel u know passenger u carry planning	neg
any luck finalize reservation information please let know need want confirm asap thx	neu
complete form doubt use ua care day vacation sure ua will feel responsibility	neg
definitely compliment think bag lose send airport in end happy customer	pos
thanx follow email ticket voucher unitedairline care	pos
definitely trip remember ewr sti second season seat pay loyal	pos
nope tell time home sleep airport even assure room	neg
update let know bag flight j burg	neu
expensive holiday work year pay ruined want compensation amp original case	neg
thank united understand but actually like bag what want money	neg
frankly bad customer service problem happen deal define company never united	neg
valid flight just strange delay late flight inbound crew hour plane	neg
thank lack help canned response k desk	neg
bad ua unforeseeable operational issue return flight	neg
like know go current flight land	neu
pay luggage deliver arrive why wait additional day delivery	neg
hotel people feel like hold hostage boarding pass leave fail	neg
great airline	pos
outbound bag lb bag return home bag lb what logic and why be write machine human help require	neg
like hear poor experience please share detail customer care team	neg
cancelled flightn leave fend flt come late flight get runaround hrs each employee blame previous	neg
this not local united number malaysia what local united airlines kuala lumpur kul	neu
okay m find luggage	neg
the agent meet gate say issue w delay take online	neg
send urgent message narayanan please respond asap also no local united tel kul	neu
thank will guy get anytime soon	neu
but lady phone say tel aviv tel aviv unite say newark no know	neg
run most plane run thank help	pos
yes answer many luggage day unacceptable	neg
go nothing like	neg
send feedback thank	neu
plus food and taxi	neg
