Tweets	Links	Search term (exactly this expression)	Location	Sentiment
honestly the best response I’ve ever heard	https://twitter.com/BourbonUniverse/status/1053050803508916225		UK	pos
Louis Litt is the best character on Suits by far 😭	https://twitter.com/thisissajan/status/1053049331140517895		UK	pos
Awesome series lad finished it too good	https://twitter.com/thisissajan/status/1053049331140517895		UK	pos
Great atmosphere tonite. Great to see so many people. Looking forward to next week. Good job everyone.	https://twitter.com/salsaricauk/status/1053050498432020481		UK	pos
Excellent show by @turinbrakes @roadmender in Northampton! I was at the show in the bar with Ed Harcourt back in the day & tonight was just as good!	https://twitter.com/wellyowl/status/1053048112720306187		UK	pos
I love it. 90s films have a bad rep but some were glorious.	https://twitter.com/FCWMusicalLover/status/1053042727158460421		UK	pos
Nah man the twist in last episode was epic	https://twitter.com/thisissajan/status/1053049331140517895		UK	pos
Can someone give me some tips on fun exercises I can do from home? What apps are good? I’m walking loads, but that’s it😊	https://twitter.com/megpartridge30/status/1053001008429891585		UK	neu
Be with someone who brings out the best in you not the stress in you	https://twitter.com/shayleenclark/status/1052962259641741313		UK	neu
Remember Jonny’s Hotshots many years ago?!!	https://twitter.com/will_hooley/status/1052951869344092161		UK	neu
Been thinking this the whole series	https://twitter.com/cloverbutter1/status/1052949472173596673		UK	neu
Mental health is still very taboo. The fear of judgement and/or impact on future opportunities is very tangible.	https://twitter.com/AzureTrenches/status/1052945988678238212		UK	neu
When you poke at such a project you generally, in my experience, find the "why" doesn't have a good or coherent answer. There's nothing wrong with the technology (e.g. Cosmos) but its not a great candidate for the problem (at least not on its own).	https://twitter.com/AzureTrenches/status/1052943559232503808		UK	neu
Good evening, Sian. We apologise for the delay in response. Can you please confirm to us what you're trying to register for? If you can private message us, we can look into this for you.	https://twitter.com/AudiUKCare/status/1053026785422659584		UK	neu
let me remind y’all that this song has a J Cole verse on it in cdq form somewhere	https://twitter.com/RyanNice/status/1053003196120125445		UK	neu
Good evening, @__LadyC__. We're disappointed to hear about your long wait. Please send us the VIN and the name of the person you've been dealing with at the Centre in a DM, and we'll look into it for you.	https://twitter.com/AudiUKCare/status/1053000928448647168		UK	neu
Everything these days is done “well” well is no longer good enough In a world of too much choice and too little time. It’s time to go beyond, time to be REMARKABLE...or be forgotten	https://twitter.com/Penthouselord/status/1052952477321048064		UK	neu
We've been thinking of a new way to personalise our wraparound ring binders. This is a movable leather tag on the wrap cord with tooled initials, it also doubles up as a handy extra pen loop. What do you think? Is this a good idea?	https://twitter.com/EarthworksJason/status/1052946982266916868		UK	neu
I’m after a designer to make me a mascot logo. Iv already got a concept but it needs working on. I want it look good but also don’t want to pay more than £30. Who’s out there?	https://twitter.com/mat_blackwell/status/1052928587278544896		UK	neu
When the assistant in @Foyles suggests a good new book for you but you are already buying three and must restrain yourself #stillthinkingaboutit	https://twitter.com/jessicasmithsop/status/1052911244078923777		UK	neu
He's never said it in public so you have to take it with a pinch of salt, plus it's not a black & white Canada+ deal. More of a 'Switzerland plus without FoM and regulatory harmonization', again not good at all	https://twitter.com/HepperleJoe/status/1052884745002991616		UK	neu
That was deemed impossible like 18 months ago? If we get extra, Canada and other countries will demand the same, it's written in the CETA. It simply doesn't work with NI phase 1 agreement, 'find a solution' is just wishful thinking without regarding actual reality	https://twitter.com/HepperleJoe/status/1052884745002991616		UK	neu
I reckon you’ll be surprised. I fully believe they’re willing to leave with no deal.	https://twitter.com/HepperleJoe/status/1052884745002991616		UK	neu
The 2018-19 Schumacher Indoor Masters kicked off this weekend, a strong field of some of Europe's best saw wins for Neil Cragg and Lee Martin RC - Report, results and video's	https://twitter.com/SchumacherRC/status/1052890807122976768		UK	neu
Ready to waste the rest of your afternoon? Google has a little-known doppelgänger tool! Pretty sure you should definitely drop whatever you're doing and play with it... I got: "Best guess for this image: gentleman"	https://twitter.com/SpinksCreative/status/1052886769174269954		UK	neu
Standard discs. Based on the miles they've covered and how you drive your dealership really should look at the calipers and the pads to make sure there's no faults. If they flat out refuse to deal with it, escalate it, but be nice, it goes a long way. Hope that helps.	https://twitter.com/Jack_Allonby/status/1052878745546063872		UK	neu
Yeah can someone please tell me when the 2019 RS3 will be released??	https://twitter.com/Jack_Allonby/status/1052801969344135168		UK	neu
Hi, Katherine. We don't have an official date for the model year 19 RS 3, if you would like to be contacted when this is available to order and test drive, private message us your full name, contact number, postcode and we'll be in touch.	https://twitter.com/Jack_Allonby/status/1052801969344135168		UK	neu
Take the car to Audi, these things just happen, cars aren’t perfect.	https://twitter.com/Jack_Allonby/status/1052801969344135168		UK	neu
Audi are aware of the problem and there is no solution.	https://twitter.com/Jack_Allonby/status/1052801969344135168		UK	neu
I'm always nice, especially when I need someone's help and co-operation. Also, all the staff are employees so if you get rude, forget them doing anything for you lol Still, it's a problem Audi are aware of and a large number of cars are affected.	https://twitter.com/Jack_Allonby/status/1052801969344135168		UK	neu
“True intuitive expertise is learned from prolonged experience with good feedback on mistakes.” - Daniel Kahneman #intuition #experience #quote	https://twitter.com/johnmcfadyen/status/1052877578346946560		UK	neu
Tell yourself 1 positive thing you like about yourself every day. For example, today I find it funny that I always have a craving for mashed potatoes.	https://twitter.com/vapingwithsj/status/1052877511477133313		UK	neu
We read about 300 reports of innovation each year as part of @Charity_Awards and almost all of the good stuff is coming from small-to-medium charities.	https://twitter.com/daveainsworth4/status/1052877242156474368		UK	neu
One issue is about the lack of innovation in large companies - lots of research on this - & whether that is true for charities. If so, stasis of large is bad. I think there is (scruffy, incomplete) evidence that innovation comes from smaller charities, as happens with companies.	https://twitter.com/daveainsworth4/status/1052877242156474368		UK	neu
No, totally agreed (have seen people present this as both a positive & a negative!) BUT think stability & lack of change interesting re: 1.) ‘birth rate’ 2.) how orgs in the social economy are capitalised 3.) why this means the ‘birth rate’ is as low by comparison	https://twitter.com/daveainsworth4/status/1052877242156474368		UK	neu
I’ve seen opinion pieces that do things like show the 10 biggest companies, 20 years apart, to show they are vastly different - and then do the same for charities and show no change. I dont think that proves what people want to say, but these sorts of trends are of interest!	https://twitter.com/daveainsworth4/status/1052877242156474368		UK	neu
If many of the charities start in 1961 that means average age is wildly different from other forms. Am now interested in this number. We could definitely do a piece on it.	https://twitter.com/daveainsworth4/status/1052877242156474368		UK	neu
Ha, yes that would complicate a straight calculation. Completely agree though that these kinds of basic stats would be very useful. Not least since funding goes in waves (will recent interest in start ups lead to longer lasting orgs than avg?).	https://twitter.com/daveainsworth4/status/1052877242156474368		UK	neu
There’s definitely churn - about 5000 are removed every year. But average age I dont know. I think we can calculate that, though it would need quite a bit of detective work (problem is large % will have a born date of 1961, when the register started)	https://twitter.com/daveainsworth4/status/1052877242156474368		UK	neu
Do charities? I assume Karl will know!	https://twitter.com/daveainsworth4/status/1052877242156474368		UK	neu
I trust Ged’s maths! Worth looking at longevity in thinking about this. The average age of companies on the register is 8 yrs (is that right, Ged?), so even if annual births and deaths are a little hard to calculate, there must be plenty of churn or that number would be higher.	https://twitter.com/daveainsworth4/status/1052877242156474368		UK	neu
New #coops seem to run at c. 250 p/a in the UK (including conversions?) with some spikes in e.g. employee ownership numbers in Scotland in rcent years, so seems about right (but ask Gen is my maths and / or understanding of the data is broadly correct)	https://twitter.com/daveainsworth4/status/1052877242156474368		UK	neu
- Private limited companies account for c. 96% of all corporate body types on the register - During 2017/18, there were 620,285 incorporations in total - So between several hundred and few thousand is what we are looking at for CLGs per annum?	https://twitter.com/daveainsworth4/status/1052877242156474368		UK	neu
- 42,174 Guarantee Companies with exemption from using 'Ltd / Limited' (many of these will probably have Registered Charity status, I'd guess?) - that's 1% of the register - & 105,092 Guarantee Companies - that's c. 2.5% of the total register	https://twitter.com/daveainsworth4/status/1052877242156474368		UK	neu
@nicktemple1 you could take a rough stab at the 'birth rate' of similar organisation Karl (have been doing something on this with @My_impact_is recently... watch this space) .. but - There are over 23 types of corporate body held on the register	https://twitter.com/daveainsworth4/status/1052877242156474368		UK	neu
Yes, I’ve heard many say that. I’d love to get some stats on the number of companies ltd by guarantee, with a social purpose, for the same year.	https://twitter.com/daveainsworth4/status/1052877242156474368		UK	neu
4/ We're also often told that for people who want to do social useful things, there are other options to the crusty old model of charity - with its over-regulation and old-hat governance model. But look at CICs - 2,844 established last year. Half number of charity applications.	https://twitter.com/daveainsworth4/status/1052877242156474368		UK	neu
3/ First, it feels sometimes like people don't like the charity model anymore: trust falling is a common narrative. But this suggests something different (as do the figures for the total income of registered charities, which goes up every year). People still believe in charity.	https://twitter.com/daveainsworth4/status/1052877242156474368		UK	neu
2/ There’s also some stats in there about how long it takes (50-odd days; its getting quicker). But I really think that increase in applications to register a charity is a thing. A couple of reasons.	https://twitter.com/daveainsworth4/status/1052877242156474368		UK	neu
1/ The Charity Commission has just written to parliament to say that the number of applications to register a charity has increased by 40% in 5 years. 40%. So last year, there were 8,375 applications to register a charity.	https://twitter.com/daveainsworth4/status/1052877242156474368		UK	neu
Tonight’s news: Ellie means to call herself delirious, makes a typo and calls herself delicious...	https://twitter.com/BourbonUniverse/status/1053066607168311296		UK	neu
I hope we can add something to the comittee amd those that travel with us its a good bunch of people who all support the cobblers	https://twitter.com/kwscott29/status/1053046301288554497		UK	neu
I’m not attending this year but I will be at the Wildhearts gig in London. If you could make that extra good so I don’t feel like I’m missing out, I’d appreciate it. Thank you :)	https://twitter.com/danielleeverett/status/1053036468447395842		UK	neu
Intro offer £17.99  Our new skinny coffees are the best out there. BRAND NEW FORMULA packed with superfoods Will be £22.99 from Monday so GRAB IT QUICK! 30 day pack! Bargain!	https://twitter.com/NB_Slimming/status/1053018317487792128		UK	neu
Can you send me a pic of what it looks like with 2 word docs, side by side at 100% zoom with navigation pane displayed? Been thinking of this setup instead of 2 screens. That’s what I spend a lot of time doing.	https://twitter.com/leighakendall/status/1053017904965476352		UK	neu
I thought you left boxing?	https://twitter.com/SeeJayRead/status/1055840410051006465		UK	neu
Looking for up to 3 for Cardiff at home tomorrow. Trusted buyer and seller. RT appreciated.	https://twitter.com/princeamrit10/status/1055839806645788673		UK	neu
But perhaps some values etc they teach are true?	https://twitter.com/ETollinton/status/1055839282328489984		UK	neu
Because they will buy them elsewhere.	https://twitter.com/JoustingJim/status/1055839261835124737		UK	neu
It’s fairly new (~12 months) and primarily is used as a sales tool.	https://twitter.com/WillFealey/status/1059784586484428801		UK	neu
Do you have a hi-res version of this image? Need one on a canvas in my house!	https://twitter.com/Jack_Allonby/status/1059781191551905792		UK	neu
Can we not start a crowdfunding page to fund investigation into these Tory/UKIP/Newspaper magnates dodgy business dealings?	https://twitter.com/CRMKTransmitter/status/1059781122467487744		UK	neu
I don't think the link will work because it seems you have typed the location of the file on your computer	https://twitter.com/CraigS0309/status/1059780581804990464		UK	neu
@BritishGasHelp Hi Just seen I can get Hive heating for £124 and a free Dot (great offer). My house has separate heating zones upstairs and down, therefore would I need to buy anything else if I wanted to install Hive in my house?	https://twitter.com/Adrian69Tweets/status/1059772035113672709		UK	neu
Yes, I agree. That’s why I quote-tweeted rather than simply retweeting.	https://twitter.com/dr_d_allington/status/1059769896605831168		UK	neu
The lengths I go to to be stubborn fuck you Ibis you bunch of money grabbing bastards	https://twitter.com/katie_conboy/status/1059779380476633089		UK	neg
Awful decision to allow a pedestrian crossing over a grid road. Should have forced an underpass or bridge to be built	https://twitter.com/Caitch22/status/1059422349735444480		UK	neg
What a prick. Tried reporting it to police Scotland but can’t as I’m in England. Horrible video :(	https://twitter.com/a_weir/status/1059771371729887233		UK	neg
Those pics are just so awful x	https://twitter.com/EmmaWise100/status/1059802289081405445		UK	neg
Constantly seeing shit that pisses me off	https://twitter.com/rebeccazoee98/status/1059800420086964225		UK	neg
I got broccoli soup for lunch but burnt my tongue so I guess I’ll never know if I actually like it or not cause now I can’t taste shit	https://twitter.com/Bethanblog/status/1059790133925429249		UK	neg
I’m having a shit week and I just want to go back to bed🙄😒	https://twitter.com/yass_elizebeth/status/1059782160750645248		UK	neg
Going gym without headphones is fucking horrible	https://twitter.com/smxth_/status/1059774086774226944		UK	neg
Having to wait till payday for a trim is the worst🤧🤧🤧🤧	https://twitter.com/_KyleWills/status/1059766632149598208		UK	neg
Grief after someone very close to you dies is the most painful thing in the world. It makes all other problems you have been through feel so small and irrelevant.	https://twitter.com/RichHarv10/status/1059764641281331201		UK	neg
It's the worst thing about holidays everyday life just seems so dull after.	https://twitter.com/mkdebs/status/1059763405341581312		UK	neg
I think I can sum up my feelings at the moment in one word: dissatisfied. I think it's been the case since returning from Canada and Florida just distracted me from it.	https://twitter.com/mkdebs/status/1059763405341581312		UK	neg
We have a guest at the dinner table	https://twitter.com/Frenchd0gblues/status/976544994977898496	dinner	UK (Bristol)	neu
this issue is primarily about Japanese-owned plants located in UK to serve EU mkt - higher costs & they relocate.	https://twitter.com/billgdavies/status/970273827350605825	plant	UK (Bristol)	neu
So today I bought liability insurance, registered as self-employed for my #BODYCOMBAT teaching	https://twitter.com/PaulTMarsh/status/923309731963432961	insurance	UK (Bristol)	neu
Panel debate on sustainable solutions: diversity at work - wrapping up now #RAeSWAAC @AeroSociety @AltaMentoring	https://twitter.com/stella_warren/status/660138228587044864	sustainable	UK (Bristol)	neu
Making notes and reading articles. One line of thinking leads to another… circular journal article tracing. Online libraries are a boon to the researching person.	https://twitter.com/xkylet/status/938056711474241536	library	UK (Bristol)	neu
It's starting to thaw here	https://twitter.com/TimWorth1/status/969876632554139648		UK (Bristol)	neu
I'm making a bot that generates art critiques. Preliminary tests prove it could maybe be more constructive with its criticism	https://twitter.com/_samdraws/status/977672321052921856	art	UK (Bristol)	neu
I spoke with bristolwastecompany recently about food waste, compost and personal responsibility	https://twitter.com/Saralimback/status/796985101598896129	waste	UK (Bristol)	neu
First attempt at computer controlled astrophotography...target Messier 42, The Orion Nebula	https://twitter.com/AdamJaufurally/status/949798307685048320	computer	UK (Bristol)	neu
Deactivated my FB account (temporarily, possibly). On @twitter I’ve always assumed to be in public but my social contract with @facebook was for some safety, privacy for me and my friends.	https://twitter.com/thomleg/status/975139752692379648	privacy	UK (Bristol)	neu
Bristol: Dry and bright with sunshine but also patchy cloud. Max 12c Wind W 12mph Chance of precip: 30% Min 7c	https://twitter.com/Brist_Weather/status/978134809343033344	weather	UK (Bristol)	neu
You’ve had all of this and I’ve just replied to the original message your colleague sent. You are meant to be a global company but you operate like you run out of someone’s back bedroom. I’ve never had such awful service in all my life. The number for complaints please....	https://twitter.com/andyb_1981/status/1059752691478511616		UK	neg
You've been banging on and crying for 2 yrs and this so called result is literally a few points ahead you're clutching at straws and still banging on about it ...Stop enough already it's boring I'm sick to the back teeth of this...	https://twitter.com/rafatjah/status/1059745027574976515		UK	neg
Honestly feel like shit Cba	https://twitter.com/chelsdrywood/status/1059738936627642371		UK	neg
Diabetes is all in all the worst thing that has ever happened to me	https://twitter.com/_meganxjansen_/status/1059735931710832640		UK	neg
Benedict Cumberbatch is such a shit actor. Terribly overrated. He plays the same character in everything he's in. Why does he keep getting work???	https://twitter.com/Karl_Downey/status/1059733467062329344		UK	neg
It really is difficult to pick the least obnoxious between these two low-lifes.	https://twitter.com/LaurenceMcBeth/status/1059732998952796161		UK	neg
Pathetic dismissals	https://twitter.com/buntz_1981/status/1059731929912786944		UK	neg
As unpalatable as the Grenfell effigy burners were, what actual crime(s) have they committed?? Being an insensitive Arsehole isn’t a crime the last time I looked.	https://twitter.com/oasispj38/status/1059727633452335105		UK	neg
lazy awful people	https://twitter.com/FCWMusicalLover/status/1059723247082790912		UK	neg
If you are going to have fireworks on the beach the least you can do is bin the rubbish 😡 Unacceptable!	https://twitter.com/melbear29/status/1059484989794988035		UK	neg
I actually have no words. Just seen the news about #GrenfellEffigy who the f**k would do something so disgusting.😡😡	https://twitter.com/donnacheer/status/1059712009648984066		UK	neg
So i guess he don’t sit there on an anniversary of a family members death and remember them! He also sits there on national tv wearing a poppy! What a joke. I am raging! He is a disgusting human being (well I don’t actually know if he is human after all)	https://twitter.com/kthugs82/status/1059706226924232705		UK	neg
These people are horrible. Btw what’s happened to inquiry into council, planners and builders who allowed the real building to burn? Not seen on TV lately.	https://twitter.com/MannersPR/status/1059705342739841024		UK	neg
whenever i wake up and have no notifications i know my day is going to be awful	https://twitter.com/miakoloszko/status/1059689291016818688		UK	neg
Hopefully not she is horrible	https://twitter.com/JeremyS90505373/status/1059636386532331520		UK	neg
finally getting more confident with my skin & the past few days i’ve been waking up with the worst breakouts😢	https://twitter.com/jordxnne_/status/1059629712404893696		UK	neg
OL terrible. Absolute shambles this season.	https://twitter.com/Greg_Kett/status/1059618735445733376		UK	neg
Honestly I'm surprised you watched it mate, couldn't think of anything worse to watch as a neural haha, showed glimpses? That is one of the worst performances from start to finish I've seen from us we were pathetic and won't survive if we keep our manager imo	https://twitter.com/jackfts/status/1059607480844673027		UK	neg
All for fireworks but why can’t they make them without the noise, my dogs are so scared it’s horrible to see my babies this way😩☹️	https://twitter.com/natalieelsey1/status/1059512176094990337		UK	neg
Bloody annoying 😡xx	https://twitter.com/natalieelsey1/status/1059512176094990337		UK	neg
Yes very disappointing to see the likes of Google and Facebook in there, they’re hardly going to respect people’s privacy as their business models rely on exploiting personal information and privacy.	https://twitter.com/RobBluedreamer/status/1059602809048498176		UK	neg
Same here! I see it the same way. Horses dying in a race seems to be a common occurrence too, it's awful	https://twitter.com/Goat0fWisdom/status/1059601537176088576		UK	neg
Pathetic because it violated European law ..sick of this shit..	https://twitter.com/rafatjah/status/1059583074483257344		UK	neg
Bloody hell thats awful	https://twitter.com/caroline_pbo/status/1059582381001228288		UK	neg
my skin is very bad help xx	https://twitter.com/isabellarota_/status/1059580314459226112		UK	neg
Anything more annoying than videos not loading on here ???	https://twitter.com/daisylines_/status/1059576126538989568		UK	neg
If I get sleep paralysis again tonight I’m probs gonna kill myself cause I can’t deal with that shit	https://twitter.com/Crywolfxo/status/1059574770134593537		UK	neg
I hope Akeem wins now not that awful foul mouthed fake Cameron	https://twitter.com/acbmk/status/1059568831256059906		UK	neg
